AD S.aureus,H Control,AD Control
0.14855983617090593,0.3063490943767542,0.5450910694523378
0.023386406421697016,0.003291782865542993,0.9733218107127625
0.024659204512708126,0.0017540222691912713,0.9735867732180992
0.1527249445063677,9.421442651341557e-4,0.8463329112284979
0.42879396885929383,0.06977424581282779,0.50143178532788
0.05750188443473924,0.4128467575628318,0.5296513580024289
0.04227242083188188,0.009947027458503776,0.9477805517096122
0.23402488480594355,0.03072438193392851,0.7352507332601269
0.008948606879764589,0.009458952821090709,0.9815924402991432
0.06385014260235629,0.002199531061985958,0.9339503263356597
0.041406802319227554,0.05912625169848111,0.8994669459822888
0.0377217006256702,0.007243799189573264,0.9550345001847564
0.0864274103772473,0.028998801558980027,0.884573788063775
0.34073173197321516,0.1500993857880016,0.5091688822387841
0.5538701834026806,0.07081149012413233,0.37531832647318714
0.03965100814816242,0.0019018816984745523,0.958447110153362
0.1282777322629639,0.08737130872302992,0.7843509590140061
0.1576583121788346,0.07844821587108775,0.7638934719500782
0.13723283534020764,0.19469188730176226,0.6680752773580277
0.05430524213067273,0.657522602226113,0.28817215564321425
0.08557177675296761,0.6279070006973148,0.2865212225497171
0.05082181975310666,0.6641186895495916,0.2850594906973024
0.04986223124864227,0.01657243418143727,0.9335653345699205
0.06430853102727484,0.011008375591392939,0.9246830933813325
0.05922412525448802,0.08091949171324245,0.8598563830322702
0.0283935028463975,0.41295710152511544,0.5586493956284883
0.3203508850048723,0.14023581690070944,0.5394132980944178
0.007287909271449101,0.0018644406890324374,0.9908476500395186
0.06754077358752712,0.19626248581918498,0.7361967405932888
0.08771520847573987,0.0033563012432163354,0.9089284902810436
0.02539347742256949,0.7308641342721275,0.24374238830530157
0.008933629624377538,0.009012372960536662,0.9820539974150865
0.02818930069450609,0.006717196513988348,0.9650935027915049
0.04835943987503151,0.7393566671374843,0.2122838929874866
0.09169474391456847,0.6522089720762807,0.25609628400915135
0.20218131107859608,0.25721521416699233,0.5406034747544131
0.22937250153576386,0.5397288577732524,0.2308986406909848
0.5320347034847787,0.030058343191131435,0.43790695332409135
0.3581090696614701,0.24161170002844137,0.40027923031008994
0.027861197231810512,0.003082176288042195,0.9690566264801509
0.043601719092472,0.9199939945210021,0.03640428638652559
0.2577596029643065,0.6999141872536737,0.04232620978201942
0.06262973793870338,0.7882532153018289,0.14911704675947035
0.06303756300158808,0.0041640255278498125,0.9327984114705603
0.3672022498615304,0.5604103644178478,0.07238738572062094
0.4092719557546396,0.057497933273309175,0.5332301109720506
0.17446462448214625,0.758568357004791,0.0669670185130638
0.054122789511442386,0.9249888349704009,0.020888375518156123
0.05264905777544703,0.9270250599839727,0.020325882240581107
0.11430554119758306,0.13528716951094583,0.7504072892914707
0.08686629104810376,0.8594971174827669,0.053636591469131696
0.011036848370067853,0.018699226124847146,0.9702639255050878
0.15116216439101654,0.7027622893497665,0.1460755462592169
0.17643560412355977,0.2186060748889156,0.6049583209875258
0.2597566539977136,0.5169574033156505,0.22328594268663285
0.049924899873126725,0.8440119593280866,0.1060631407987881
0.07373036503079368,0.8686178038549403,0.05765183111426475
0.09641265908836726,0.6071639629809474,0.2964233779306847
0.37365305254132125,0.09984894378223139,0.5264980036764462
0.10894983395094465,0.6872492405567663,0.20380092549228757
0.09449415854978889,0.36102237044239904,0.5444834710078148
0.4849799255184927,0.05271385019790709,0.4623062242835999
0.037066775784464163,0.7722318460104786,0.19070137820505664
0.03631176162029568,0.7341114112238228,0.2295768271558816
0.06190606436576396,0.6081734957949986,0.329920439839238
0.04226728435378683,0.7494091611628,0.20832355448341353
0.06583180444762625,0.5289791464040287,0.40518904914834725
0.10631718756897648,0.7998522433531473,0.09383056907787443
0.3964869878636056,0.3805177207150498,0.2229952914213447
0.3552747959180776,0.5780298150661559,0.06669538901576612
0.03388274504573241,0.01791349763488354,0.9482037573193859
0.05008468379261819,0.7083823617368549,0.24153295447052645
0.057040489583473845,0.08886464729206314,0.8540948631244603
0.25971628445049405,0.061234732507335056,0.6790489830421699
0.07427111926825804,0.8186121405085703,0.1071167402231737
0.058106743143278176,0.7721277051853339,0.16976555167138832
0.07533881740309915,0.06506251724385839,0.8595986653530425
0.08444713292695477,0.8535946007262256,0.06195826634681853
0.12563029399691722,0.543877549444956,0.3304921565581274
0.22375844285288604,0.3600112655593607,0.41623029158775376
0.15380289108112857,0.4420497980018352,0.4041473109170334
0.008385972465291066,0.9688713122192963,0.02274271531541432
0.11352576716881917,0.6846493365688083,0.20182489626237382
0.031270357500336986,0.9467995673959961,0.02193007510366723
0.3487175883315436,0.4846448101572422,0.1666376015112139
0.046095601329008855,0.7909920781715455,0.1629123204994458
0.027981606783124488,0.9280794552769448,0.04393893793993143
0.22602666032961738,0.024036658968483594,0.7499366807018989
0.2497670764490707,0.10864045109009489,0.641592472460834
0.036997662715627926,0.8072926114629093,0.15570972582145975
0.05134729732228251,0.43861665418258655,0.5100360484951303
0.20590298950788932,0.047938352222816935,0.7461586582692912
0.22937688244683085,0.06051468768558154,0.7101084298675906
